sample_id,grid_id,study_area,year,metric,value,name,unit,fragmentation_interpretation
ESP_S5,ESP_0602,Spain,2012,lpi,21.8368,Largest patch index,%,Dominance of the largest forest patch
ESP_S5,ESP_0602,Spain,2012,cohesion,99.17971750357829,Patch cohesion index,%,Structural connectedness
ESP_S5,ESP_0602,Spain,2012,enn_mn,247.05831887444435,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S5,ESP_0602,Spain,2012,ai,87.51960151277557,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S5,ESP_0602,Spain,2018,pland,43.4032,Percentage of landscape,%,Forest habitat amount
ESP_S5,ESP_0602,Spain,2018,np,87,Number of patches,count,Absolute patch subdivision
ESP_S5,ESP_0602,Spain,2018,pd,0.1392,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S5,ESP_0602,Spain,2018,ed,22.023999999992903,Edge density,m / ha,Density of forest-matrix edges
ESP_S5,ESP_0602,Spain,2018,lpi,21.6864,Largest patch index,%,Dominance of the largest forest patch
ESP_S5,ESP_0602,Spain,2018,cohesion,99.17530184801147,Patch cohesion index,%,Structural connectedness
ESP_S5,ESP_0602,Spain,2018,enn_mn,247.05831887444435,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S5,ESP_0602,Spain,2018,ai,87.44343891402715,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S1,BAL_0120,Baltic States,1990,pland,53.2512,Percentage of landscape,%,Forest habitat amount
BAL_S1,BAL_0120,Baltic States,1990,np,75,Number of patches,count,Absolute patch subdivision
BAL_S1,BAL_0120,Baltic States,1990,pd,0.12000000000000222,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S1,BAL_0120,Baltic States,1990,ed,20.955200000005096,Edge density,m / ha,Density of forest-matrix edges
BAL_S1,BAL_0120,Baltic States,1990,lpi,34.5104,Largest patch index,%,Dominance of the largest forest patch
BAL_S1,BAL_0120,Baltic States,1990,cohesion,99.09141135121293,Patch cohesion index,%,Structural connectedness
BAL_S1,BAL_0120,Baltic States,1990,enn_mn,262.67265491999865,Mean nearest-neighbour distance,m,Isolation among forest patches
BAL_S1,BAL_0120,Baltic States,1990,ai,90.23852324053233,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S1,BAL_0120,Baltic States,2000,pland,49.5664,Percentage of landscape,%,Forest habitat amount
BAL_S1,BAL_0120,Baltic States,2000,np,83,Number of patches,count,Absolute patch subdivision
BAL_S1,BAL_0120,Baltic States,2000,pd,0.13280000000000244,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S1,BAL_0120,Baltic States,2000,ed,23.11520000000214,Edge density,m / ha,Density of forest-matrix edges
BAL_S1,BAL_0120,Baltic States,2000,lpi,31.224,Largest patch index,%,Dominance of the largest forest patch
BAL_S1,BAL_0120,Baltic States,2000,cohesion,99.09750070449456,Patch cohesion index,%,Structural connectedness
BAL_S1,BAL_0120,Baltic States,2000,enn_mn,266.09098659924433,Mean nearest-neighbour distance,m,Isolation among forest patches
BAL_S1,BAL_0120,Baltic States,2000,ai,88.4230176122068,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S1,BAL_0120,Baltic States,2006,pland,47.976,Percentage of landscape,%,Forest habitat amount
BAL_S1,BAL_0120,Baltic States,2006,np,89,Number of patches,count,Absolute patch subdivision
BAL_S1,BAL_0120,Baltic States,2006,pd,0.14240000000000264,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S1,BAL_0120,Baltic States,2006,ed,23.272000000001267,Edge density,m / ha,Density of forest-matrix edges
BAL_S1,BAL_0120,Baltic States,2006,lpi,29.9616,Largest patch index,%,Dominance of the largest forest patch
BAL_S1,BAL_0120,Baltic States,2006,cohesion,99.03250408200925,Patch cohesion index,%,Structural connectedness
BAL_S1,BAL_0120,Baltic States,2006,enn_mn,269.1261199075695,Mean nearest-neighbour distance,m,Isolation among forest patches
BAL_S1,BAL_0120,Baltic States,2006,ai,87.9459269074015,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S1,BAL_0120,Baltic States,2012,pland,47.368,Percentage of landscape,%,Forest habitat amount
BAL_S1,BAL_0120,Baltic States,2012,np,69,Number of patches,count,Absolute patch subdivision
BAL_S1,BAL_0120,Baltic States,2012,pd,0.11040000000000204,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S1,BAL_0120,Baltic States,2012,ed,22.809600000003034,Edge density,m / ha,Density of forest-matrix edges
BAL_S1,BAL_0120,Baltic States,2012,lpi,28.5136,Largest patch index,%,Dominance of the largest forest patch
BAL_S1,BAL_0120,Baltic States,2012,cohesion,99.08725571941531,Patch cohesion index,%,Structural connectedness
BAL_S1,BAL_0120,Baltic States,2012,enn_mn,281.7789844615382,Mean nearest-neighbour distance,m,Isolation among forest patches
BAL_S1,BAL_0120,Baltic States,2012,ai,88.0523231122059,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S1,BAL_0120,Baltic States,2018,pland,46.6752,Percentage of landscape,%,Forest habitat amount
BAL_S1,BAL_0120,Baltic States,2018,np,70,Number of patches,count,Absolute patch subdivision
BAL_S1,BAL_0120,Baltic States,2018,pd,0.11200000000000207,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S1,BAL_0120,Baltic States,2018,ed,22.971200000003268,Edge density,m / ha,Density of forest-matrix edges
BAL_S1,BAL_0120,Baltic States,2018,lpi,28.2336,Largest patch index,%,Dominance of the largest forest patch
BAL_S1,BAL_0120,Baltic States,2018,cohesion,99.08312224665747,Patch cohesion index,%,Structural connectedness
BAL_S1,BAL_0120,Baltic States,2018,enn_mn,282.2711099121353,Mean nearest-neighbour distance,m,Isolation among forest patches
BAL_S1,BAL_0120,Baltic States,2018,ai,87.7762835764284,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S2,BAL_0142,Baltic States,1990,pland,36.99679999999999,Percentage of landscape,%,Forest habitat amount
BAL_S2,BAL_0142,Baltic States,1990,np,82,Number of patches,count,Absolute patch subdivision
BAL_S2,BAL_0142,Baltic States,1990,pd,0.13120000000000243,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S2,BAL_0142,Baltic States,1990,ed,26.758400000007022,Edge density,m / ha,Density of forest-matrix edges
BAL_S2,BAL_0142,Baltic States,1990,lpi,20.532799999999998,Largest patch index,%,Dominance of the largest forest patch
BAL_S2,BAL_0142,Baltic States,1990,cohesion,98.93189069981301,Patch cohesion index,%,Structural connectedness
BAL_S2,BAL_0142,Baltic States,1990,enn_mn,292.56143363120606,Mean nearest-neighbour distance,m,Isolation among forest patches
BAL_S2,BAL_0142,Baltic States,1990,ai,82.05742147537059,Aggregation index,%,Aggregation of adjacent forest cells
BAL_S2,BAL_0142,Baltic States,2000,pland,35.732800000000005,Percentage of landscape,%,Forest habitat amount
BAL_S2,BAL_0142,Baltic States,2000,np,89,Number of patches,count,Absolute patch subdivision
BAL_S2,BAL_0142,Baltic States,2000,pd,0.14240000000000266,Patch density,patches / 100 ha,Area-standardized patch subdivision
BAL_S2,BAL_0142,Baltic States,2000,ed,26.574400000005152,Edge density,m / ha,Density of forest-matrix edges
BAL_S2,BAL_0142,Baltic States,2000,lpi,19.048000000000005,Largest patch index,%,Dominance of the largest forest patch
BAL_S2,BAL_0142,Baltic States,2000,cohesion,98.79488721033869,Patch cohesion index,%,Structural connectedness
